단어,빈도수
그,6
활,1
무과,1
급제,1
발신,1
또,1
말타,1
활쏘기,1
글씨,1
당시,3
조산,1
만호,1
이순신,15
북방,1
여진족,1
약탈,1
및,2
침략,1
예상,1
수비,1
위,1
차례,1
북,2
병사,2
이일,2
추가,1
병력,1
요청,1
모두,2
거절,1
이,2
패전,1
책임,2
지게,1
죄,1
수금,1
백의종군,1
원균,2
대립,1
각기,1
정,1
파적,1
입장,2
갈등,1
심화,1
선조,4
실록,3
수정,1
두,1
인물,3
대한,4
차이,1
논의,1
뿐,2
임진왜란,2
논공,1
행상,1
자리,1
진위,1
당부,1
논란,1
미국,1
영국,1
해군,1
교과서,1
책,1
해전,1
모든,1
것,3
휴먼,1
앤,1
북스,1
전설,1
명장,1
제독,5
추앙,1
반면,1
조선,1
수군,1
산채,1
매장,1
최악,1
평가,2
적군,1
배,1
부,1
척,1
장수,1
마다,1
해남,1
명량대첩비,1
노량해전,1
끝,1
사관,1
사람,1
산,1
왜놈,1
격파,1
말,1
아들,1
이회,1
등,3
시신,1
아산,1
반장,1
또한,1
아버지,1
이정,1
증,1
충,1
덕병,1
보조,1
공신,1
대광보국숭록대부,1
의정부,1
좌의정,1
겸,1
연사,1
덕,1
부원군,1
추증,1
용모,1
대해,1
생전,1
초상화,3
얼굴,1
묘사,1
기록,1
남아,1
주화,1
복식,1
중,1
갑옷,1
전립,1
관복,1
차림,1
영의정,1
예우,1
실제,1
살아생전,1
복장,1
류성룡,1
효종,1
정조,1
김육,1
오윤겸,1
홍석주,1
현대,1
서도,1
충무공,1
거의,1
완전무결,1
성자,1
영웅,1
천관우,1
아주,1
당신,1
나라,1
나,3
스승,1
실로,1
존경,1
만,1
두려움,1
음식,1
며칠,1
몇,1
날,1
수가,1
앞,1
전쟁,1
임해,1
장수로,1
직무,1
수,1
의문,1
일기,1
시조,1
한시,1
여러,1
편의,1
작품,1
